FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF
0	id1	0	id2	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id1	0	id6	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id1	0	id7	HAG	2.09960757820347e-279,5.15980472780301e-05,0.990992199058421,0.0089561946677425,8.22655817133775e-09,1.53893664911921e-224	0.383	0.616	0.0	0.3082	-1	HAG	0.3
0	id1	0	id8	HAG	0,1.71721654071259e-05,0.952398197490122,0.0475841808110871,4.49533383441371e-07,5.16535110924897e-162	0.445	0.554	0.0	0.2773	-1	HAG	0.3
0	id1	0	id9	HAG	0,5.4802427340237e-06,0.886928084954092,0.113062338466406,4.0963367684926e-06,9.27358236760442e-129	0.483	0.516	0.0	0.2582	-1	HAG	0.3
0	id1	0	id10	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id1	0	id11	HAG	0,1.96067205817494e-07,0.70854220251574,0.291401168383437,5.64330336178927e-05,2.89940163970302e-90	0.534	0.466	0.0	0.233	-1	HAG	0.3
0	id1	0	id12	HAG	5.61809570805158e-273,5.57689119028955e-05,0.99197858765721,0.00796563717392519,6.25696212970675e-09,6.33757922854545e-229	0.379	0.62	0.0	0.3103	-1	HAG	0.3
0	id1	0	id13	HAG	0,2.81440009077425e-05,0.979594464669007,0.0203773419323942,4.93976910205735e-08,3.62629013377395e-196	0.41	0.59	0.0	0.295	-1	HAG	0.3
0	id1	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id1	0	id15	HAG	0,2.52643948275428e-07,0.721195227288577,0.278755601903446,4.89181640287213e-05,2.43571021499149e-92	0.531	0.469	0.0	0.2345	-1	HAG	0.3
0	id1	0	id16	HAG	1.28990485637653e-208,0.000103422950793715,0.997782213236306,0.00211436351849518,2.94405086259945e-10,9.40272096983757e-279	0.336	0.663	0.0	0.3318	-1	HAG	0.3
0	id1	0	id17	CGH	0,7.70185634026252e-10,0.479995690814282,0.519466067812006,0.000538240603526624,4.25310782544268e-58	0.586	0.413	0.0	0.2067	-1	HAG,CGH	0.3
0	id1	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id1	0	id19	HAG	0,1.48525604814867e-08,0.595909751426873,0.403898008487318,0.000192225233248971,1.25145924004118e-72	0.561	0.438	0.0	0.2194	-1	HAG,CGH	0.3
