Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related	p_value
full.genome_network1	1	Missing1	full.genome_network2	1	Missing3	1	<10^-80
full.genome_network1	1	Missing1	full.genome_network3	1	F024110	5	<10^-80
full.genome_network1	1	Missing1	full.genome_network4	2	F024140	5	<10^-80
full.genome_network1	1	Missing1	full.genome_network5	1	F036273	7	0.000000000000000021319
full.genome_network1	1	Missing1	full.genome_network6	1	Missing1	1	0.0000000000000000029310
full.genome_network1	1	Missing1	full.genome_network7	1	F036314	1	0.0000000029134
full.genome_network1	1	Missing1	full.genome_network8	1	Missing1	1	0.00000000059695
full.genome_network1	1	Missing1	full.genome_network9	1	Missing1	1	0.00000000000014954
full.genome_network1	1	Missing1	full.genome_network10	1	F036345	1	0.00000000067770
full.genome_network1	1	Missing1	full.genome_network11	1	Missing1	6	0.000000000000000000000000000000000014282
full.genome_network1	1	Missing1	full.genome_network12	1	Missing1	1	0.00000000000062852
full.genome_network1	1	Missing1	full.genome_network13	1	Missing1	1	0.0000000000000000000046377
full.genome_network1	1	Missing1	full.genome_network14	1	Missing1	6	0.000000000000000000000000000000000000000010322
full.genome_network2	1	Missing3	full.genome_network3	1	F024110	3	<10^-80
full.genome_network2	1	Missing3	full.genome_network4	1	F024121	1	<10^-80
full.genome_network2	1	Missing3	full.genome_network5	2	F036279	6	0.000000055694
full.genome_network2	1	Missing3	full.genome_network6	1	Missing1	1	0.000000000051646
full.genome_network2	1	Missing3	full.genome_network7	1	F036314	7	0.00000051940
full.genome_network2	1	Missing3	full.genome_network8	1	Missing1	1	0.00000000000000000000000037919
full.genome_network2	1	Missing3	full.genome_network9	1	Missing1	1	0.0000000000000000000000010664
full.genome_network2	1	Missing3	full.genome_network10	1	F036345	6	0.000018084
full.genome_network2	1	Missing3	full.genome_network11	1	Missing1	6	0.000000000000000000000000000000000000087085
full.genome_network2	1	Missing3	full.genome_network12	1	Missing1	1	0.000000000000000011499
full.genome_network2	1	Missing3	full.genome_network13	1	Missing1	1	0.000000000000077497
full.genome_network2	1	Missing3	full.genome_network14	1	Missing1	5	0.00000000000000000000000000038207
full.genome_network3	1	F024110	full.genome_network4	2	F024140	3	<10^-80
full.genome_network3	1	F024110	full.genome_network5	1	F036273	2	0.00023176
full.genome_network3	1	F024110	full.genome_network6	1	Missing1	1	0.00000000000031460
full.genome_network3	1	F024110	full.genome_network7	1	F036314	2	0.0015002
full.genome_network3	1	F024110	full.genome_network8	1	Missing1	1	0.0000000060231
full.genome_network3	1	F024110	full.genome_network9	1	Missing1	7	0.000000000000000052504
full.genome_network3	1	F024110	full.genome_network10	1	F036345	2	0.00029246
full.genome_network3	2	F012778	full.genome_network11	1	Missing1	6	0.0000000000047644
full.genome_network3	1	F024110	full.genome_network12	1	Missing1	1	0.0000083308
full.genome_network3	1	F024110	full.genome_network13	1	Missing1	1	0.0000000039192
full.genome_network3	1	F024110	full.genome_network14	1	Missing1	1	0.0000071890
full.genome_network4	1	F024121	full.genome_network5	1	F036273	2	0.00040980
full.genome_network4	1	F024121	full.genome_network6	1	Missing1	1	0.00000000000029286
full.genome_network4	1	F024121	full.genome_network7	1	F036314	2	0.0026334
full.genome_network4	1	F024121	full.genome_network8	1	Missing1	1	0.00000000038913
full.genome_network4	1	F024121	full.genome_network9	1	Missing1	7	0.000024082
full.genome_network4	1	F024121	full.genome_network10	1	F036345	2	0.015556
full.genome_network4	1	F024121	full.genome_network11	1	Missing1	1	0.0000000000000000027293
full.genome_network4	1	F024121	full.genome_network12	1	Missing1	1	0.000013227
full.genome_network4	1	F024121	full.genome_network13	1	Missing1	1	0.00000028054
full.genome_network4	1	F024121	full.genome_network14	1	Missing1	1	0.00000013614
full.genome_network5	1	F036273	full.genome_network6	1	Missing1	5	<10^-80
full.genome_network5	1	F036273	full.genome_network7	1	F036314	2	0.00033758
full.genome_network5	1	F036273	full.genome_network8	1	Missing1	6	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000061935
full.genome_network5	1	F036273	full.genome_network9	1	Missing1	6	0.00000000000000000000000000000000029986
full.genome_network5	2	F036279	full.genome_network10	1	F036345	6	0.00000000000000000000048310
full.genome_network5	1	F036273	full.genome_network11	1	Missing1	1	0.0000000000000000010964
full.genome_network5	1	F036273	full.genome_network12	1	Missing1	1	0.0000000000000049352
full.genome_network5	1	F036273	full.genome_network13	1	Missing1	1	0.0000000086988
full.genome_network5	1	F036273	full.genome_network14	1	Missing1	4	<10^-80
full.genome_network6	1	Missing1	full.genome_network7	1	F036314	1	0.000033716
full.genome_network6	1	Missing1	full.genome_network8	1	Missing1	5	<10^-80
full.genome_network6	1	Missing1	full.genome_network9	1	Missing1	5	0.000000000000000000000000000000000000000000000000000000025857
full.genome_network6	1	Missing1	full.genome_network10	1	F036345	5	<10^-80
full.genome_network6	1	Missing1	full.genome_network11	1	Missing1	1	0.000000000000000000000000000000000015897
full.genome_network6	1	Missing1	full.genome_network12	1	Missing1	1	0.000000000000013743
full.genome_network6	1	Missing1	full.genome_network13	1	Missing1	1	0.000000000044309
full.genome_network6	1	Missing1	full.genome_network14	1	Missing1	4	<10^-80
full.genome_network7	2	F036313	full.genome_network8	1	Missing1	7	0.000000000079875
full.genome_network7	1	F036314	full.genome_network9	1	Missing1	1	0.0000000051685
full.genome_network7	1	F036314	full.genome_network10	1	F036345	2	0.000042163
full.genome_network7	2	F036313	full.genome_network11	1	Missing1	6	<10^-80
full.genome_network7	1	F036314	full.genome_network12	1	Missing1	3	0.000000000000000000000000000000000000000000000000000000000000000000000000028226
full.genome_network7	2	F036313	full.genome_network13	1	Missing1	5	<10^-80
full.genome_network7	1	F036314	full.genome_network14	1	Missing1	1	0.000000075277
full.genome_network8	1	Missing1	full.genome_network9	1	Missing1	1	0.0000000000000081502
full.genome_network8	1	Missing1	full.genome_network10	1	F036345	1	0.0000000014920
full.genome_network8	1	Missing1	full.genome_network11	1	Missing1	6	0.00000000000000000000000000000018300
full.genome_network8	1	Missing1	full.genome_network12	1	Missing1	1	0.0000000000000000051886
full.genome_network8	1	Missing1	full.genome_network13	1	Missing1	1	0.0000000000000020084
full.genome_network8	1	Missing1	full.genome_network14	1	Missing1	1	0.000000000000000000000000000000000000000000000000000000000000000000000000061422
full.genome_network9	1	Missing1	full.genome_network10	1	F036345	5	<10^-80
full.genome_network9	1	Missing1	full.genome_network11	1	Missing1	1	0.0000000000000000000000000000000075953
full.genome_network9	1	Missing1	full.genome_network12	1	Missing1	1	0.00000000000012167
full.genome_network9	1	Missing1	full.genome_network13	1	Missing1	1	0.0000000000000000000000087126
full.genome_network9	1	Missing1	full.genome_network14	1	Missing1	1	0.0000000000000036716
full.genome_network10	1	F036345	full.genome_network11	1	Missing1	1	0.000000000000000000020558
full.genome_network10	1	F036345	full.genome_network12	1	Missing1	1	0.00000027580
full.genome_network10	1	F036345	full.genome_network13	1	Missing1	1	0.00000010841
full.genome_network10	1	F036345	full.genome_network14	1	Missing1	8	0.00000000000000061735
full.genome_network11	1	Missing1	full.genome_network12	1	Missing1	3	<10^-80
full.genome_network11	1	Missing1	full.genome_network13	1	Missing1	1	<10^-80
full.genome_network11	1	Missing1	full.genome_network14	1	Missing1	1	0.000000000000000000000000000078586
full.genome_network12	1	Missing1	full.genome_network13	1	Missing1	1	<10^-80
full.genome_network12	1	Missing1	full.genome_network14	1	Missing1	1	0.0000000020467
full.genome_network13	1	Missing1	full.genome_network14	1	Missing1	1	0.000000000000069943
full.genome_network1	1	Missing1	NA	F000613	F000613	1	0.0000000035034
full.genome_network2	1	Missing3	NA	F000613	F000613	1	0.000000010325
full.genome_network3	1	F024110	NA	F000613	F000613	2	0.000000022903
full.genome_network4	1	F024121	NA	F000613	F000613	2	0.000036567
full.genome_network5	1	F036273	NA	F000613	F000613	2	0.0022109
full.genome_network6	1	Missing1	NA	F000613	F000613	1	0.00000013458
full.genome_network7	1	F036314	NA	F000613	F000613	2	0.00000000000000000000019319
full.genome_network8	1	Missing1	NA	F000613	F000613	1	0.000000000012566
full.genome_network9	1	Missing1	NA	F000613	F000613	1	0.0000000000000010167
full.genome_network10	1	F036345	NA	F000613	F000613	2	0.000064910
full.genome_network11	1	Missing1	NA	F000613	F000613	1	0.00000000000089039
full.genome_network12	1	Missing1	NA	F000613	F000613	1	0.0000021849
full.genome_network13	1	Missing1	NA	F000613	F000613	4	<10^-80
full.genome_network1	1	Missing1	NA	F000681	F000681	1	0.0000000000012174
full.genome_network2	1	Missing3	NA	F000681	F000681	1	0.0000000079524
full.genome_network3	1	F024110	NA	F000681	F000681	2	0.000058516
full.genome_network4	1	F024121	NA	F000681	F000681	2	0.00000020216
full.genome_network5	1	F036273	NA	F000681	F000681	6	0.00000000000000000000000000000000000000000000000025595
full.genome_network6	1	Missing1	NA	F000681	F000681	4	<10^-80
