Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related
full.genome_network1	1	Missing1	full.genome_network2	1	Missing3	1
full.genome_network1	1	Missing1	full.genome_network3	2	F024110	4
full.genome_network1	1	Missing1	full.genome_network4	2	F024140	5
full.genome_network1	1	Missing1	full.genome_network5	1	Missing2	7
full.genome_network1	1	all	full.genome_network6	1	all	UN
full.genome_network1	1	Missing1	full.genome_network7	2	Missing4	7
full.genome_network1	1	all	full.genome_network8	1	all	UN
full.genome_network1	1	all	full.genome_network9	1	all	UN
full.genome_network1	1	all	full.genome_network10	1	all	UN
full.genome_network1	1	Missing1	full.genome_network11	1	Missing6	7
full.genome_network1	1	all	full.genome_network12	1	all	UN
full.genome_network1	1	Missing1	full.genome_network13	1	Missing1	7
full.genome_network1	1	Missing1	full.genome_network14	1	Missing1	6
full.genome_network2	1	Missing3	full.genome_network3	2	F024110	3
full.genome_network2	1	Missing3	full.genome_network4	2	F024140	3
full.genome_network2	1	Missing8	full.genome_network5	1	Missing2	7
full.genome_network2	1	all	full.genome_network6	1	all	UN
full.genome_network2	1	Missing8	full.genome_network7	2	F036313	7
full.genome_network2	1	F021340	full.genome_network8	1	Missing1	7
full.genome_network2	1	all	full.genome_network9	1	all	UN
full.genome_network2	1	Missing3	full.genome_network10	1	Missing1	7
full.genome_network2	1	Missing8	full.genome_network11	1	Missing4	6
full.genome_network2	1	Missing8	full.genome_network12	1	Missing1	7
full.genome_network2	1	F021340	full.genome_network13	1	Missing1	7
full.genome_network2	1	F021340	full.genome_network14	1	Missing1	7
full.genome_network3	2	F024110	full.genome_network4	2	F024140	3
full.genome_network3	2	Missing2	full.genome_network5	1	Missing2	7
full.genome_network3	1	Missing4	full.genome_network6	1	Missing1	7
full.genome_network3	1	Missing4	full.genome_network7	1	Missing2	7
full.genome_network3	1	Missing4	full.genome_network8	1	Missing1	7
full.genome_network3	1	Missing4	full.genome_network9	1	Missing1	7
full.genome_network3	1	Missing4	full.genome_network10	1	F036345	8
full.genome_network3	1	Missing4	full.genome_network11	1	Missing1	6
full.genome_network3	1	all	full.genome_network12	1	all	UN
full.genome_network3	1	all	full.genome_network13	1	all	UN
full.genome_network3	1	all	full.genome_network14	1	all	UN
full.genome_network4	1	all	full.genome_network5	1	all	UN
full.genome_network4	1	F024121	full.genome_network6	1	Missing1	7
full.genome_network4	1	all	full.genome_network7	1	all	UN
full.genome_network4	2	Missing2	full.genome_network8	1	Missing1	7
full.genome_network4	1	Missing4	full.genome_network9	1	Missing1	7
full.genome_network4	1	all	full.genome_network10	1	all	UN
full.genome_network4	1	all	full.genome_network11	1	all	UN
full.genome_network4	1	all	full.genome_network12	1	all	UN
full.genome_network4	1	all	full.genome_network13	1	all	UN
full.genome_network4	1	all	full.genome_network14	1	all	UN
full.genome_network5	2	F036273	full.genome_network6	1	Missing1	4
full.genome_network5	1	Missing2	full.genome_network7	1	Missing2	7
full.genome_network5	2	F036273	full.genome_network8	1	Missing1	6
full.genome_network5	1	F036279	full.genome_network9	1	Missing1	6
full.genome_network5	2	F036273	full.genome_network10	1	F036345	7
full.genome_network5	1	F036279	full.genome_network11	1	Missing4	7
full.genome_network5	1	Missing2	full.genome_network12	1	Missing1	7
full.genome_network5	1	all	full.genome_network13	1	all	UN
full.genome_network5	2	F036273	full.genome_network14	1	Missing1	4
full.genome_network6	1	all	full.genome_network7	1	all	UN
full.genome_network6	1	Missing1	full.genome_network8	1	Missing1	5
full.genome_network6	1	Missing1	full.genome_network9	1	Missing1	7
full.genome_network6	1	Missing1	full.genome_network10	1	F036345	5
full.genome_network6	1	Missing1	full.genome_network11	1	Missing6	7
full.genome_network6	1	all	full.genome_network12	1	all	UN
full.genome_network6	1	all	full.genome_network13	1	all	UN
full.genome_network6	1	Missing1	full.genome_network14	1	Missing1	4
full.genome_network7	2	F036313	full.genome_network8	1	Missing1	7
full.genome_network7	2	Missing4	full.genome_network9	1	Missing1	7
full.genome_network7	1	all	full.genome_network10	1	all	UN
full.genome_network7	2	F036313	full.genome_network11	1	Missing1	5
full.genome_network7	2	F036313	full.genome_network12	1	Missing1	4
full.genome_network7	2	F036313	full.genome_network13	1	Missing1	5
full.genome_network7	1	all	full.genome_network14	1	all	UN
full.genome_network8	1	all	full.genome_network9	1	all	UN
full.genome_network8	1	all	full.genome_network10	1	all	UN
full.genome_network8	1	Missing1	full.genome_network11	1	Missing4	7
full.genome_network8	1	all	full.genome_network12	1	all	UN
full.genome_network8	1	all	full.genome_network13	1	all	UN
full.genome_network8	1	Missing1	full.genome_network14	1	Missing1	6
full.genome_network9	1	Missing1	full.genome_network10	1	F036345	5
full.genome_network9	1	Missing1	full.genome_network11	1	Missing4	7
full.genome_network9	1	all	full.genome_network12	1	all	UN
full.genome_network9	1	Missing1	full.genome_network13	1	Missing1	7
full.genome_network9	1	all	full.genome_network14	1	all	UN
full.genome_network10	1	all	full.genome_network11	1	all	UN
full.genome_network10	1	all	full.genome_network12	1	all	UN
full.genome_network10	1	all	full.genome_network13	1	all	UN
full.genome_network10	1	F036345	full.genome_network14	1	Missing1	7
full.genome_network11	1	Missing1	full.genome_network12	1	Missing1	3
full.genome_network11	1	Missing1	full.genome_network13	1	Missing1	1
full.genome_network11	1	all	full.genome_network14	1	all	UN
full.genome_network12	1	Missing1	full.genome_network13	1	Missing1	3
full.genome_network12	1	all	full.genome_network14	1	all	UN
full.genome_network13	1	all	full.genome_network14	1	all	UN
full.genome_network1	1	all	NA	F000613	all	UN
full.genome_network2	1	F021340	NA	F000613	F000613	8
full.genome_network3	1	Missing4	NA	F000613	F000613	7
full.genome_network4	1	all	NA	F000613	all	UN
full.genome_network5	2	Missing4	NA	F000613	F000613	7
full.genome_network6	1	all	NA	F000613	all	UN
full.genome_network7	1	F036314	NA	F000613	F000613	8
full.genome_network8	1	Missing1	NA	F000613	F000613	8
full.genome_network9	1	all	NA	F000613	all	UN
full.genome_network10	1	all	NA	F000613	all	UN
full.genome_network11	1	Missing12	NA	F000613	F000613	8
full.genome_network12	1	all	NA	F000613	all	UN
full.genome_network13	1	Missing1	NA	F000613	F000613	4
full.genome_network1	1	Missing1	NA	F000681	F000681	8
full.genome_network2	1	all	NA	F000681	all	UN
full.genome_network3	1	Missing4	NA	F000681	F000681	8
full.genome_network4	1	all	NA	F000681	all	UN
full.genome_network5	2	F036273	NA	F000681	F000681	6
full.genome_network6	1	Missing1	NA	F000681	F000681	5
full.genome_network7	1	F036314	NA	F000681	F000681	7
full.genome_network8	1	Missing1	NA	F000681	F000681	7
full.genome_network9	1	Missing1	NA	F000681	F000681	7
full.genome_network10	1	F036345	NA	F000681	F000681	6
full.genome_network11	1	Missing12	NA	F000681	F000681	7
full.genome_network12	1	Missing1	NA	F000681	F000681	8
full.genome_network13	1	all	NA	F000681	all	UN
full.genome_network1	1	all	NA	F000686	all	UN
full.genome_network2	1	all	NA	F000686	all	UN
full.genome_network3	1	Missing4	NA	F000686	F000686	7
full.genome_network4	1	all	NA	F000686	all	UN
full.genome_network5	1	Missing2	NA	F000686	F000686	8
full.genome_network6	1	Missing1	NA	F000686	F000686	8
full.genome_network7	1	Missing2	NA	F000686	F000686	8
full.genome_network8	1	all	NA	F000686	all	UN
full.genome_network9	1	all	NA	F000686	all	UN
full.genome_network10	1	all	NA	F000686	all	UN
full.genome_network11	1	Missing4	NA	F000686	F000686	8
full.genome_network12	1	all	NA	F000686	all	UN
full.genome_network13	1	all	NA	F000686	all	UN
full.genome_network1	1	all	NA	F000873	all	UN
full.genome_network2	1	all	NA	F000873	all	UN
full.genome_network3	1	all	NA	F000873	all	UN
full.genome_network4	2	Missing2	NA	F000873	F000873	8
full.genome_network5	1	all	NA	F000873	all	UN
full.genome_network6	1	all	NA	F000873	all	UN
full.genome_network7	1	Missing2	NA	F000873	F000873	8
full.genome_network8	1	Missing1	NA	F000873	F000873	8
full.genome_network9	1	Missing1	NA	F000873	F000873	7
full.genome_network10	1	F036345	NA	F000873	F000873	8
full.genome_network11	1	Missing12	NA	F000873	F000873	8
full.genome_network12	1	all	NA	F000873	all	UN
full.genome_network13	1	Missing1	NA	F000873	F000873	8
full.genome_network1	1	Missing1	NA	F001927	F001927	8
full.genome_network2	1	Missing8	NA	F001927	F001927	8
full.genome_network3	1	Missing4	NA	F001927	F001927	8
full.genome_network4	2	Missing2	NA	F001927	F001927	8
full.genome_network5	1	all	NA	F001927	all	UN
full.genome_network6	1	all	NA	F001927	all	UN
full.genome_network7	1	Missing2	NA	F001927	F001927	8
full.genome_network8	1	Missing1	NA	F001927	F001927	8
full.genome_network9	1	all	NA	F001927	all	UN
full.genome_network10	1	all	NA	F001927	all	UN
full.genome_network11	1	all	NA	F001927	all	UN
full.genome_network12	1	all	NA	F001927	all	UN
full.genome_network13	1	all	NA	F001927	all	UN
full.genome_network1	1	all	NA	F002407	all	UN
full.genome_network2	1	Missing8	NA	F002407	F002407	8
full.genome_network3	1	Missing4	NA	F002407	F002407	8
full.genome_network4	2	Missing2	NA	F002407	F002407	8
full.genome_network5	2	F036273	NA	F002407	F002407	6
full.genome_network6	1	Missing1	NA	F002407	F002407	7
full.genome_network7	2	F036313	NA	F002407	F002407	8
full.genome_network8	1	Missing1	NA	F002407	F002407	8
full.genome_network9	1	Missing1	NA	F002407	F002407	7
full.genome_network10	1	F036345	NA	F002407	F002407	8
full.genome_network11	1	all	NA	F002407	all	UN
full.genome_network12	1	all	NA	F002407	all	UN
full.genome_network13	1	all	NA	F002407	all	UN
full.genome_network1	1	Missing1	NA	F002720	F002720	2
full.genome_network2	1	Missing3	NA	F002720	F002720	2
full.genome_network3	2	F024110	NA	F002720	F002720	6
full.genome_network4	2	F024140	NA	F002720	F002720	6
full.genome_network5	1	all	NA	F002720	all	UN
full.genome_network6	1	all	NA	F002720	all	UN
full.genome_network7	1	all	NA	F002720	all	UN
full.genome_network8	1	Missing1	NA	F002720	F002720	8
full.genome_network9	1	all	NA	F002720	all	UN
full.genome_network10	1	all	NA	F002720	all	UN
full.genome_network11	1	all	NA	F002720	all	UN
full.genome_network12	1	all	NA	F002720	all	UN
