Network	ID1	ID1_sex	relationship_to_ID2	ID2	ID2_sex	relationship_to_ID1
1	0__F002717	0	F	0__F002719	0	F
2	0__F002247	0	O	0__F002724	0	P
2	0__F002247	0	N	0__F004718	0	A
2	0__F002247	0	1C	0__F012770	0	1C
2	0__F002247	0	O	0__F021340	0	P
2	0__F002724	0	F	0__F004718	0	F
2	0__F002724	0	A	0__F012770	0	N
2	0__F004718	0	P	0__F012770	0	O
3	0__F012778	0	O,P	0__F024110	0	O,P
4	0__F024121	0	O,P	0__F024140	0	O,P
5	0__F036273	0	O,P	0__F036279	0	O,P
6	0__F036275	0	F	0__F036289	0	F
7	0__F036313	0	O,P	0__F036314	0	O,P
8	0__F036332	0	F	0__F036333	0	F
9	0__F036324	0	F	0__F036335	0	F
10	0__F036304	0	F	0__F036343	0	F
10	0__F036304	0	O	0__F036345	0	P
10	0__F036343	0	O	0__F036345	0	P
11	0__F001008	0	F	0__F036375	0	F
11	0__F001008	0	F	0__F036376	0	F
11	0__F001008	0	F	0__F036377	0	F
11	0__F001008	0	A	0__F036378	0	N
11	0__F001008	0	A	0__F036391	0	N
11	0__F001008	0	P	0__F036448	0	O
11	0__F036375	0	F	0__F036376	0	F
11	0__F036375	0	F	0__F036377	0	F
11	0__F036375	0	P	0__F036378	0	O
11	0__F036375	0	A	0__F036391	0	N
11	0__F036375	0	A	0__F036448	0	N
11	0__F036376	0	F	0__F036377	0	F
11	0__F036376	0	A	0__F036378	0	N
11	0__F036376	0	A	0__F036391	0	N
11	0__F036376	0	A	0__F036448	0	N
11	0__F036377	0	A	0__F036378	0	N
11	0__F036377	0	P	0__F036391	0	O
11	0__F036377	0	A	0__F036448	0	N
11	0__F036378	0	1C	0__F036391	0	1C
11	0__F036378	0	1C	0__F036448	0	1C
11	0__F036391	0	1C	0__F036448	0	1C
12	0__F036395	0	F	0__F036421	0	F
13	0__F032732	0	F	0__F036396	0	F
14	0__F064225	0	F	0__F064472	0	F




# RELATIONSHIP KEY:
# 1st degree:
# P = parent
# O = offspring
# F = full-sib
#
# 2nd degree:
# A = uncle/aunt
# N = niece/nephew
3 H = half-sib
3 G = grandparent
# C = grandchild
#
# 3rd degree:
# GA = great-uncle/aunt
# GN = great-niece/nephew
# HA = half-uncle/aunt
# HN = half-niece/nephew
# 1C = first cousin
# GG = great-grandparent
# GC = great=grandchild
